Name,Place,Town Name,Phone Number,Overall Rating,Rating,Pricelist,Best Selling,Hot Trending,Average Daily Profit,Average Daily Customers,Most Crowded Day
Apsara Hotel,"Signal Junction, Perumbavoor, Kerala 683542",Perumbavoor,093875 72993,4.21,4.2,                ? 500 - 1000,Mutton Biriyani,Mutton fry,100000,350,Saturday
Kunjappus Restaurant,"opp. bsnl, Perumbavoor, Kerala 683542",Perumbavoor,9811213343,4.18,4.2,                ? 500 - 1000,Ghee Rice and Beef Roast,Beef Curry,100000,370,Sunday
Oottupura Restaurant,"Hanan Manzil, Plot No. 264, Main Central Road, PO, Kanjirakkad, Perumbavoor, Kerala 683543",Perumbavoor,099478 75645,3.55,3.6,                ? 500 - 1000,Meals with Fish Fry,Fish Roast,102000,450,Monday
Saphire Family Restaurant,"Ground Floor, Madhava Mandiram, Adjacent to TMS Centre, SH 16, AM Rd, Perumbavoor, Kerala 683542",Perumbavoor,8989786876,3.82,3.8,                ? 500 - 1000,Chicken Biriyani,Beef Roast,110000,500,Tuesday
Hotel Annapoorna,"Kaduval Junction, Kanjirakad, SH 1, Perumbavoor, Kerala 683542",Perumbavoor,099619 91338,3.5,3.5,                ? 500 - 1000,Malasa Dosa,White Rice Meals,130000,550,Wednesday
Arabian Palace Perumbavoor,"park, Palakkattuthazham - Kandanthara Rd, Perumbavoor, Kerala 683547",Perumbavoor,088911 00600,3.98,4.1,1000-2000,Chicken Mandi,Chicken Spicy Kuzhimanthi,45000,200,Saturday
Royal Food Court,"4F79+QQ6, SH 16, Perumbavoor, Kerala 683542",Perumbavoor,0484 252 5271,3.91,3.9,                ? 500 - 1000,Tandoori Chicken,Royal Special Falooda,50000,350,Sunday
Kunjapus Biriyani Hut,"4F8G+3QW, Court Rd, Perumbavoor, Kerala 683542",Perumbavoor,7897656789,4.61,4.6,                ? 500 - 1000,Meals with Fish Fry,Mixed Fried Rice,80000,700,Saturday
Malabar Village Restaurant,"SH 1, opposite Reliance petrol pump, Perumbavoor, Kerala 683542",Perumbavoor,095443 10001,3.65,3.7,                ? 500 - 1000,Chicken Biriyani,Beef Roast,70000,750,Sunday
Zaina Arabian Food Court,"near Idea Office, State Highway, 1, Aluva - Munnar Rd, Perumbavoor, Kerala 683542",Perumbavoor,0484 252 4427,3.9,3.9,                ? 500 - 1000,Beef Roast Porotta,Chicken Kabsa,90000,800,Monday
Lakshmi Bhavan,"5C8Q+FVW, Kalady Malayattoor Road, Thalayattumpilli, Kalady, Kerala 683574",Kalady,098959 69984,4,4,                ? 500 - 1000,Poori Masala,Veg Meals,95000,850,Tuesday
Burger Inn Kalady,"near Gokulam chits, Kalady, Mattoor, Kalady, Kerala 683574",Kalady,077360 76300,4.3,4.3,                ? 500 - 1000,Bada Baap Burger,Royal Burger,100000,900,Wednesday
Eden hotel,"5CGC+V7H, SH 1, Mattoor, Kalady, Kerala 683574",Kalady,8687830902,3.67,3.7,                ? 500 - 1000,Meals,Chicken Biriyanu,120000,950,Thursday
Kasims Foods @ kalady,"Near sabari railway, road, Chengal, Kalady, Kerala 683574",Kalady,098952 47788,4.23,4.2,                ? 500 - 1000,Beef Burger,Burger Shawarma,80000,800,Friday
Pauly Chetan's Kappa Botti Shop(thattukada ),"5CCJ+842, Mattoor, Kalady, Kerala 683574",Kalady,8089878888,4.5,4.5,                ? 500 - 1000,Kaada Bulls Eye,Kappa Porl,60000,500,Saturday
Daddy Cafe,"Mattoor, Kalady, Kerala 683574",Kalady,9090989767,4.12,4.1,                ? 500 - 1000,Al Faham Mandi,Chicken Kuzhimanthi,90000,300,Sunday
Ruchi Hotel,"5CFG+94X, Mattoor, Kalady, Kerala 683574",Kalady,9545645432,5,5,                ? 500 - 1000,Chicken Biriyani,Beef Biriyani,100000,350,Monday
Prasad homly food,"5CCH+8J2, Mattoor, Kalady, Kerala 683574",Kalady,9447970676,3.82,3.8,                ? 500 - 1000,Al Faham Mandi,Chicken Kuzhimanthi,100000,370,Tuesday
Al-Rayyan kuzhimandhi,"5CCH+J4P, Mattoor, Kalady, Kerala 683574",Kalady,9447989786,4.23,4.2,                ? 500 - 1000,Beef Mandhi,Al-Faham,102000,450,Wednesday
Al Ladhidh Food Cafe,"Thalayattumpilli, Kalady, Kerala 683574",Kalady,081292 92819,4.34,4.3,                ? 500 - 1000,Chicken Biriyani,Barbeque Chicken Alfam,110000,500,Thursday
Mazha Street Style Restaurant,"5CCH+439, Kariyad - Airport - Mattoor Rd, Mattoor, Kalady, Kerala 683574",Kalady,9823344344,4.34,4.3,                ? 500 - 1000,Shawarma Plate,Peri Peri Al-Fahm,130000,550,Friday
Grand Malabar,"Athani, Nedumbassery, Ernakulam - 683585",Nedumbassery,9526551000,3.57,3.5,                ? 500 - 1000,Spicy Chicken Fry,sandwhich,45000,200,Wednesday
Diana Heights Multicuisine,"Nedumbassery, Ernakulam - 683585, Near Athani Junction, Cochin International Airport",Nedumbassery,          0484 2474160,4.09,4,                ? 500 - 1000,Parota with beef curry,Kappa meen curry,50000,350,Friday
Grand Malabar,"Airport Junction, Athani Ernakulam, Ernakulam - 683585, Near International Airport ",Nedumbassery,          0484 2477135,3.91,3.9,                ? 500 - 1000,Kappa and Meen Curry,Fried Prawns,80000,700,Sunday 
Salkara Restaurant,"National Highway 544, Airport Rd, Athani, Kochi, Kerala 683585",Nedumbassery,0484 247 7311,4.21,4.2,                ? 500 - 1000,Fish Curry Meals,Kanthari Beef,70000,750,Monday
Drunken panda,"5943+CH3, Athani, Kerala 683589",Athani,89721342312,3.02,3,                0-500,Chikku Shake,Chicken Sandwich,90000,800,Tuesday
Real Tasty Restaurant,"5935+3QR, Athani, Aluva, Kerala 683585",Athani,9009087003,4.21,4.2,                ? 500 - 1000,shawarma ,Grilled Chicken,95000,850,Wednesday
Desert Grill,"5923+VPM, Athani, Kerala 683585",Athani,0484 2266765,3.82,3.8,                ? 500 - 1000,Mexican Shawarma Roll,Peri Peri Al-Fahm,100000,900,Thursday
Usthad Hotel,"5943+5VJ, athani nedumbassery, Aluva, Kerala 683585",Athani,0484 2479010,4.24,4.2,                ? 500 - 1000,Chicken Biriyani,Fish Biriyani,120000,950,Friday
Usar ki kattan kushal ki puttu,"Cochin International Airport Entrance, Athani, Kerala 683585",Athani,097463 12121,3.75,3.7,                ? 500 - 1000,Chicken Biriyani,Beef Biriyani,125000,1000,Saturday
Baycholin Restaurant ,"Sea Port Airport Road, Chittethukara, Kakkanad, Ernakulam - 682030, Near to North Masjid ",Kakkanad,7994813246,3.81,3.8,                ? 500 - 1000,Fish Molee,sandwhich,130000,1050,Thursday
Kettuvallam Restaurant ,"Seaport Airport Road, Kakkanad, Ernakulam - 682037, Near T V Center ",Kakkanad,            90377 77060,3.82,3.8,                ? 500 - 1000,Naadan Kozhi Curry,Ghee Rice (NeyChoru),150000,1100,Monday
IdlyPura ,"Kuzhikattumoola, Infopark Kochi, Ernakulam - 682042",Kakkanad,97455701300,3.84,3.8,                ? 500 - 1000,Spicy Chicken Fry,Thalassery Biryani,50000,350,Saturday
Royal Food Court ,"Pukkattupady Road, Thrikkakara, Kakkanad, Ernakulam - 682030",Kakkanad,          0484 3306319,3.81,3.8,                ? 500 - 1000,Kerala Prawn Curry,Pizza,80000,700,Wednesday
Currymean ,"Ground Floor, Athulya Biulding, Infopark Road, Infopark Campus, Kakkanad, Ernakulam - 682030 ",Kakkanad,9388305551,3.94,3.9,                ? 500 - 1000,Fish Molee,Kappa Puzhukku,45000,200,Wednesday
Empire Plaza,"No.12/760-B2, B3, Kakkanad, Padamughal, Ernakulam - 682037",Kakkanad,8592831555,4.01,4,                ? 500 - 1000,Kerala Prawn Curry,Seafood ,50000,800,Tuesday
Fort Kitchen,"Seaport Airport Road Vallathol Junction, Thrikkakara, Ernakulam - 682021, Near Suberbun Club",Kakkanad,7947269780,3.58,3.5,                ? 500 - 1000,Beef Fry,kappa meen curry,50000,1000,Wednesday
Ifthar,"Edachira, Kakkanad, Ernakulam - 682030, Opposite Info Park ",Kakkanad,8589871451,3.72,3.7,                ? 500 - 1000,Chicken Biriyani,Fried Prawns,50000,350,Monday
Thaal Kitchen,"Kakkanad, Ernakulam - 682030, Near Rajagiri College",Kakkanad,9539099499,3.76,3.7,                ? 500 - 1000,Kappa and Meen Curry,Thalassery Biryani,80000,700,Tuesday                  
"Diwan's Durbar, Kakkanad","Infopark Rd, opp. Civil Station, Echamuku, Kakkanad, Kochi, Kerala 682030",Kakkanad,089433 39991,3.57,3.5,                ? 500 - 1000,Chicken Biriyani,Appan with Duck Roast,60000,500,Wednesday
Alakapuri Restaurant,"Infopark Rd, near Civil Station, Echamuku, Kakkanad, Kochi, Kerala 682030",Kakkanad,080863 33627,4.09,4,                ? 500 - 1000,Chicken Wings,Kapama Beef Rice,90000,300,Thursday
Palaaram Kakkanad,"Seethys Tower, Seaport - Airport Rd, Vallathol Junction, Vidya Nagar Colony, Thrikkakara, Kakkanad, Kerala 682021",Kakkanad,098465 75059,3.91,3.9,                ? 500 - 1000,Beef Biriyani,Porotta,100000,350,Friday
The Voyager (24/7),"Seaport - Airport Rd, Padamughal, Kakkanad, Kerala 682037",Kakkanad,096562 47247,4.21,4.2,                ? 500 - 1000,Chilly Pork,Schezwan Chicken Fried Rice,100000,370,Saturday
1947 An Indian Restaurant,"Infopark Rd, Kuzhikkattumoola, Kusumagiri, Kakkanad, Kerala 682030",Kakkanad,8009706050,3.02,3,                ? 500 - 1000,Grilled Chicken,Mixed Fried Rice,102000,450,Sunday
Nellikka Restaurant Kakkanad,"any time is kanji time - Opposite S.R.Heights Apartments, Rajagiri Valley Road, Infopark Expy, Kakkanad, Kerala 682030",Kakkanad,099467 18674,4.21,4.2,                ? 500 - 1000,Sandwiches,Chicken Popcorn,110000,500,Monday
Darbar Seafood Restaurant," Civil Line Rd, Echamuku, Kunnumpuram, Thrikkakara, Kakkanad, Kochi, Kerala 682021",Kakkanad,080898 8326,3.82,3.8,                ? 500 - 1000,Prawns Fry,Pasta with Cuttlefish ink,130000,550,Tuesday
Barkath Restaurant,"Ground floor,Municipal Complex, NGO Quarters, Kakkanad, Kochi, Kerala 682030",Kakkanad,099617 99360,4.24,4.2,                ? 500 - 1000,shawarma ,Grilled Chicken,45000,200,Wednesday
Golden Kitchen,"Near Infopark, opp. to Strawberry Tots, Kusumagiri, Kakkanad, Kochi, Kerala 682030",Kakkanad,9234923939,3.75,3.7,                ? 500 - 1000,Mexican Shawarma Roll,Peri Peri Al-Fahm,50000,350,Thursday
Malabar Plaza Family Restaurant,"Kakkanad Pallikara Rd, Kakkanad, Kerala 682030",Kakkanad,080894 93855,3.81,3.8,                ? 500 - 1000,Chicken Biriyani,Fish Biriyani,80000,700,Friday
Chakkarapanthal Restaurant,"Kuzhikkattumoola Muriyankara Road Kakkanad, Kochi, Kerala 682030",Kakkanad,8907855433,3.82,3.8,                ? 500 - 1000,Chicken Biriyani,Beef Biriyani,70000,750,Saturday
Amor Kitchen,"Infopark Expy, Infopark Campus, Kakkanad, Kerala 682030",Kakkanad,096458 97897,3.84,3.8,                ? 500 - 1000,Chicken Biriyani,Appan with Duck Roast,90000,800,Sunday
Toto restaurant,"Daily angadi complex, navodaya junction, Kakkanad, Kerala 682030",Kakkanad,079948 99949,3.88,3.8,                ? 500 - 1000,Chicken Wings,Kapama Beef Rice,95000,850,Monday
Grand Vattekkad restaurant,"2988+688, Kakkanad, Kerala 682030",Kakkanad,9008766554,3.81,3.8,                ? 500 - 1000,Beef Biriyani,Porotta,100000,900,Tuesday
Lighthouse Kitchen Kakkanad,"Civil Station, Thrikkakara, Kakkanad, Kerala 682030",Kakkanad,096336 39939,3.94,3.9,                ? 500 - 1000,Chilly Pork,Schezwan Chicken Fried Rice,130000,550,Wednesday
Le Hayath Multi cuisine Family Restaurant,"Mavelipuram Colony, Thrikkakara, Kakkanad, Kerala 682030",Kakkanad,097780 68856,4.01,4,                ? 500 - 1000,Grilled Chicken,Mixed Fried Rice,45000,200,Thursday
Veetile Oonu,"2925+P82, Kakkanad, Kerala 682030",Kakkanad,8007567800,3.58,3.5,                ? 500 - 1000,Meals with Fish Fry,Chapathi with chicken,50000,350,Friday
Hotel Galaxy Family Restaurant,"274e, Crash Rd, Colony Stop, Vazhakkala, Kochi, Kerala 682021",Kakkanad,0484 406 9106,3.72,3.7,                ? 500 - 1000,Prawns Fry,Pasta with Cuttlefish ink,80000,700,Saturday
Muziris Kitchen,"near Good Earth Hymns Of Life, Athani, Kakkanad, Kochi, Kerala 682030",Kakkanad,7898806220,3.76,3.7,                ? 500 - 1000,Grilled Chicken,Mixed Fried Rice,75000,600,Sunday
Alikkas Hotel ,"Kalamassery, Ernakulam - 683104, Near Post Office",Kalamassery,9995139595,3.69,3.6,                ? 500 - 1000,Idli Sambhar,Kappa Boti,35000,70,Thursday
Signature Cafe Spot ,"Kalamassery, Kochi University, Ernakulam - 682022, Opposite to Vijaya Bank",Kalamassery,8547767451,4.12,4.1,                ? 500 - 1000,Kappa and Meen Curry,Burger,28000,40,Saturday
Emarath Restaurant,"Metro Pillar No, 288, TVS Signal Jn, South Kalamassery, Kalamassery, Kochi, Kerala 683104",Kalamassery,095265 90000,4.12,4.1,                ? 500 - 1000,Beef Roast Porotta,Chicken Kabsa,80000,700,Sunday
Pallath Restaurant,"p.o HMT, Pallath building, HMT Rd, South Kalamassery, Kalamassery, Kochi, Kerala 683104",Kalamassery,099957 32334,3.7,3.7,                ? 500 - 1000,Chicken Biriyani,Mutton Biriyani,45000,200,Monday
Biriyani Chembu Restaurant," NH544, Thirunilath Housing Colony, South Kalamassery, Kalamassery, Ernakulam, Kerala 682039",Kalamassery,099956 33815,4.1,4.1,                ? 500 - 1000,Al Faham Mandi,Beef Mandi,50000,800,Tuesday
Seapark Restaurant,"A.K. Towers, University Junction, Nh, Kalamassery, Ernakulam, Kerala 680104",Kalamassery,0484 253 2299,3.51,3.5,                ? 500 - 1000,Kerala Paratha,Puttu Beef Curry,50000,1000,Wednesday
Kismath Restaurant,"32 University Road, CUSAT Junction, WARD NO24 Near CUSAT Main Gate South Kalamassery CUSAT P.O, Kochi, Kerala 682022",Kalamassery,099955 38232,3.02,3,                ? 500 - 1000,Peri Peri Al Faham,Chatti Choru,100000,10000,Thursday
Aliza restaurant,"28X8+PQC, TVS Rd, South Kalamassery, Kalamassery, Kochi, Kerala 683104",Kalamassery,9247107090,4.03,4,                ? 500 - 1000,Sadhya,Parota with beef curry,70000,650,Friday
Mirchi Dhaba,"Puthiya road signal, near Decathlon, Kalamassery, Kochi, Kerala 683501",Kalamassery,096457 46955,3.62,3.6,                ? 500 - 1000,Mutton Biriyani,Mutton fry,45000,300,Saturday
Vazhayila restaurant,"TMC, 23, 182, Thirunilath Lane, Alfiya Nagar, South Kalamassery, Kalamassery, Kochi, Kerala 682022",Kalamassery,9024726110,4.81,4.8,                ? 500 - 1000,Ghee Rice and Beef Roast,Beef Curry,45000,200,Sunday
The Arabian Bae,"University Road, Alfiya Nagar, South Kalamassery, Kalamassery, Ernakulam, Kerala 682033 ",Kalamassery,8078720199,3.87,3.9,                ? 500 - 1000,Meals with Fish Fry,Fish Roast,50000,350,Monday
Go Foodie,"TOG Rd, near Rajagiri College of Engineering, South Kalamassery, Kalamassery, Kochi, Kerala 683104",Kalamassery,085930 96074,4.23,4.2,                ? 500 - 1000,Chicken Biriyani,Beef Roast,80000,700,Tuesday
Munthirikkothu,"N H. 47, South Kalamassery, Kalamassery, Ernakulam, Kerala 683104",Kalamassery,081118 89888,4.2,4.2,                ? 500 - 1000,Beef Roast Porotta,Chicken Kabsa,70000,750,Wednesday
FOOD 'O' FOOD,"University Road, Hidayath Nagar, Thrikkakara, HMT Kalamassery, Kochi, Kerala 682022",Kalamassery, 073062 71405,4.43,4.4,                ? 500 - 1000,Chicken Biriyani,Mutton Biriyani,90000,800,Thursday
Hotel Abhirami,"386F+P67, FACT Kalamassery Rd, South Kalamassery, Kalamassery, Ernakulam, Kerala 683104",Kalamassery,081292 88772,2.51,2.5,                ? 500 - 1000,Al Faham Mandi,Beef Mandi,95000,850,Friday
Kayees Rahmathulla Hotel,"New Road, Mattancherry, Ernakulam - 682002",Kochi,               0484 2226080,4.22,4.2,                ? 500 - 1000,Kerala Prawn Curry,Parota with beef curry,60000,500,Tuesday
Tharavadu,"Casino Hotel, Willingdon Island, Ernakulam - 682003",Kochi,          0484 3011500,4.41,4.4,                ? 500 - 1000,Parota with beef curry,Chuttuli Meen ,90000,300,Sunday
Malabar Cafe ,"Bolgatty Island, Near, Vypin, Ernakulam - 682010",Kochi,          0484 2661234,4.99,4.9,                ? 500 - 1000,Thattu Dosa with Chutney,Ghee Rice (NeyChoru),100000,350,Thursday
Fort Kochi Seafood Restaurant,"Willingdon Island Casino Hotel, Willingdon Island, Ernakulam - 682003",Kochi,          0484 2864500,4.03,4,                ? 500 - 1000,Idli Sambhar,Death by Chocolate,100000,370,Tuesday
Ifthar Restaurant ,"Thoppumpady, Ernakulam - 682005, Near Harbour Bridge ",Kochi,9633323322,3.78,3.7,                        ? 0 - 500,Sadhya,Kappa Puzhukku,102000,450,Sunday 
Sree Ganesha Resturant,"Ground Floor, Jew Town Synagogue Lane, Mattancherry, Ernakulam - 682002, Opposite Post Office",Kochi,9745237199,4.32,4.3,              ? 1000 - 2000,Kerala Prawn Curry,Kappa Puzhukku,110000,500,Tuesday
Malabar Junction,"No1/268, Malabar House Hotel, Parade Road, Kochi, Ernakulam - 682001, Near Fort",Kochi,          0484 2216666,4.02,4,                ? 500 - 1000,Kappa and Meen Curry,Kappa Boti,130000,550,Saturday
Cafe Cuba ,"Tower Road, Fort, Kochi Fort, Ernakulam - 682001, Opposite Delta Study",Kochi,9895733047,3.7,3.7,                 ? 500 - 1000,Dosa Ghee Roast with Sambar,Seafood ,45000,200,Friday
Restaurant 51,"V40, Bazaar Rd, Mattancherry, Kochi, Kerala 682002",Kochi,0484 434 4666,4.07,4,                ? 500 - 1000,Spicy Chicken Fry,Kappa Boti,50000,350,Saturday
Grand Pavilion,"X7CP+64W, Mahatma Gandhi Rd, Ernakulam South, Kochi, Kerala 682011",Kochi,0484 238 2061,3.88,3.8,                ? 500 - 1000,Kerala Prawn Curry,Parota with beef curry,80000,700,Sunday
Ginger House Restaurant,"Jew Town, Kappalandimukku, Mattancherry, Kochi, Kerala 682002",Kochi,0484 221 3400,3.64,3.6,                ? 500 - 1000,Beef Fry,Chuttuli Meen ,70000,750,Monday
Kochi Kitchen,"Lulu International Shopping Mall, 34/1111, Old NH 47, Edappally, Kochi, Kerala 682024",Kochi,0484 717 7777,3.97,3.9,                ? 500 - 1000,Naadan Kozhi Curry,Death by Chocolate,90000,800,Tuesday
Kashi Art Caf�,"Burger St, near Police Station, Fort Nagar, Fort Kochi, Kochi, Kerala 682001",Kochi,0484 221 5769,4.18,4.1,                ? 500 - 1000,dosa Ghee roast with sambar,Kappa Puzhukku,95000,850,Wednesday
Paragon,"Lulu Shopping Mall, Edappally Junction, Nethaji Nagar, Edappally, Kochi, Kerala 682024",Kochi,0484 401 1000,3.81,3.8,                ? 500 - 1000,Karimeen Pollichathu ,Ghee Rice (NeyChoru),100000,900,Thursday
Punjab House,"40/1920 Broadway Broadway Lodge Compound, Marine Drive, Kochi, Kerala 682031",Kochi,0484 236 8605,3.79,3.7,                ? 500 - 1000,Sea foods,Chuttuli Meen ,120000,950,Friday
